AD7760,,,
pin,name,type,side
1,DGND,pwr,left
2,MCLKGND,pwr,left
3,MCLK,in,left
4,AVDD2RHS,passive,left
5,AGND2,pwr,left
6,VMOD1,passive,left
7,AGND1,pwr,left
8,DECAPA,passive,left
9,REFGND,pwr,left
10,VREF+,passive,left
11,AGND4,pwr,left
12,VBUF,passive,left
13,AGND2,pwr,left
14,AVDD2LHS,passive,left
15,VBIAS,passive,left
16,AGND2,pwr,left
17,RBIAS,passive,bottom
18,AGND2,pwr,bottom
19,VINA1+,passive,bottom
20,VINA1-,passive,bottom
21,VOUTA1-,passive,bottom
22,VOUTA1+,passive,bottom
23,AGND3,pwr,bottom
24,Vdiff,passive,bottom
25,VIN+,passive,bottom
26,VIN-,passive,bottom
27,AVDD2,passive,bottom
28,AGND2,pwr,bottom
29,VOUTA2+,passive,bottom
30,VOUTA2-,passive,bottom
31,VINA2-,passive,bottom
32,VINA2+,passive,bottom
33,VMOD2,passive,right
34,AGND1,pwr,right
35,DGND,pwr,right
36,-SYNC,in,right
37,-RESET,in,right
38,-DRDY,out,right
39,-RD-/WR,in,right
40,-CS,in,right
41,DVDD,passive,right
42,DGND,pwr,right
43,DGND,pwr,right
44,VDRIVE,passive,right
45,DB15,tri,right
46,DB14,tri,right
47,DB13,tri,right
48,DB12,tri,right
49,DB11,tri,top
50,DB10,tri,top
51,DB9,tri,top
52,DB8,tri,top
53,DGND,pwr,top
54,DB7,tri,top
55,DB6,tri,top
56,DB5,tri,top
57,DB4,tri,top
58,DB3,tri,top
59,DB2,tri,top
60,DB1,tri,top
61,DB0,tri,top
62,DGND,pwr,top
63,VDRIVE,passive,top
64,DGND,pwr,top
65,PADDLE,pwr,right
